
 iteration number 3 ; error 6.667284555312374 ; parameters [0.40590424 0.33762099 0.68234109 0.83122684 0.73079689] 

 iteration number 4 ; error 1.341729355662849 ; parameters [0.29663437 0.49999383 0.68234109 1.         0.73079689] 

 iteration number 1 ; error 6.270560887307565 ; parameters [0.73526883 0.6725321  0.99939217 0.85700613 0.82746917] 

 iteration number 2 ; error 3.9643718801257686 ; parameters [0.47865066 0.41591392 0.74277399 0.50658948 0.47705252] 

 iteration number 3 ; error 3.7103652953178248 ; parameters [0.01035529 0.41735265 0.25467001 0.54875141 0.51921445] 

 iteration number 4 ; error 1.3422111540698156 ; parameters [0.0692124  0.4999956  0.25467001 1.         0.51921445] 

 iteration number 1 ; error 3.7206652657184733 ; parameters [0.12434894 0.41611816 0.74163101 0.63786547 0.23585309] 

 iteration number 2 ; error 1.8855658669260844 ; parameters [0.66809965 0.47225689 0.6234412  0.35532007 0.33458788] 

 iteration number 3 ; error 1.3267025205029674 ; parameters [0.66605006 0.49999506 0.6234412  1.         0.33458788] 

 iteration number 1 ; error 3.322521400270918 ; parameters [0.40674843 0.5631436  0.67956804 0.05787675 0.5371109 ] 

 iteration number 2 ; error 1.3442312584690235 ; parameters [0.8105966  0.49850982 0.82969734 0.99802801 0.47726217] 

 iteration number 3 ; error 1.3422121442939488 ; parameters [0.80527678 0.49999339 0.82969734 1.         0.47726217] 

 iteration number 1 ; error 2.1836555057543077 ; parameters [0.7381506  0.54282328 0.32452869 0.37933055 0.84660584] 

 iteration number 2 ; error 1.3555937962660527 ; parameters [0.69649642 0.5011691  0.1219337  0.93855874 0.56677485] 

 iteration number 3 ; error 1.3468957242837412 ; parameters [0.44382407 0.5011691  0.1219337  0.93855874 0.56677485] 

 iteration number 4 ; error 1.2323913237959228 ; parameters [0.45864108 0.49992517 0.1219337  1.         0.56677485] 

 iteration number 1 ; error 1.5790923888546218 ; parameters [0.7468988  0.48226914 0.20780082 0.29172517 0.61103565] 

